"resource","country","cluster","cluster_rank","tier","location","gw"
"onwind","ES",8,14,2,63,4.814
"onwind","ES",22,15,2,64,3.388
"onwind","ES",30,16,2,65,5.599
"onwind","ES",6,17,2,66,7.431
"onwind","ES",4,18,2,67,1.394
"onwind","ES",21,19,2,68,4.581
"onwind","ES",2,20,2,69,2.354
"onwind","ES",17,21,2,70,1.996
"onwind","ES",18,22,2,71,4.983
"onwind","ES",3,23,2,72,4.245
"onwind","ES",28,24,2,73,5.987
"onwind","ES",12,25,2,74,0.885
"onwind","ES",9,26,2,75,2.674
"onwind","ES",27,27,2,76,2.057
"onwind","ES",11,28,2,77,0.821
"onwind","ES",5,29,2,78,0.784
"onwind","ES",7,30,2,79,1.066
"onwind","ES",23,1,1,80,1.699
"onwind","ES",20,2,1,81,3.541
"onwind","ES",16,3,1,82,4.992
"onwind","ES",29,4,1,83,11.179
"onwind","ES",26,5,1,84,8.651
"onwind","ES",25,6,1,85,10.994
"onwind","ES",14,7,1,86,4.446
"onwind","ES",1,8,1,87,12.663
"onwind","ES",24,9,1,88,10.108
"onwind","ES",19,10,1,89,17.782
"onwind","ES",13,11,1,90,13.433
"onwind","ES",10,12,1,91,5.109
"onwind","ES",15,13,1,92,14.799
"onwind","ES",8,14,1,93,21.286
"onwind","ES",22,15,1,94,21.103
"onwind","ES",30,16,1,95,9.193
"onwind","ES",6,17,1,96,19
"onwind","ES",4,18,1,97,6.721
"onwind","ES",21,19,1,98,13.305
"onwind","ES",2,20,1,99,11.934
"onwind","ES",17,21,1,100,18.365
"onwind","ES",18,22,1,101,26.697
"onwind","ES",3,23,1,102,14.964
"onwind","ES",28,24,1,103,13.858
"onwind","ES",12,25,1,104,23.125
"onwind","ES",9,26,1,105,23.244
"onwind","ES",27,27,1,106,3.66
"onwind","ES",11,28,1,107,13.37
"onwind","ES",5,29,1,108,31.472
"onwind","ES",7,30,1,109,25.175
"onwind","FI",4,1,4,1,0.766
"onwind","FI",3,2,4,2,0.721
"onwind","FI",1,3,4,3,2.953
"onwind","FI",4,1,3,4,8.425
"onwind","FI",3,2,3,5,2.765
"onwind","FI",1,3,3,6,4.334
"onwind","FI",2,4,3,7,0.553
"onwind","FI",4,1,2,8,99.1
"onwind","FI",3,2,2,9,67.268
"onwind","FI",1,3,2,10,58.578
"onwind","FI",2,4,2,11,45.48
"onwind","FI",4,1,1,12,78.698
"onwind","FI",3,2,1,13,75.572
"onwind","FI",1,3,1,14,109.094
"onwind","FI",2,4,1,15,126.905
"onwind","FR",26,1,4,1,1.112
"onwind","FR",30,2,4,2,1.68
"onwind","FR",24,3,4,3,1.665
"onwind","FR",2,4,4,4,3.893
"onwind","FR",21,6,4,5,0.016
"onwind","FR",8,9,4,6,1.081
"onwind","FR",10,10,4,7,0.656
"onwind","FR",5,13,4,8,1.566
"onwind","FR",13,16,4,9,0.051
"onwind","FR",11,22,4,10,0.435
"onwind","FR",6,24,4,11,0.339
"onwind","FR",20,26,4,12,0.006
"onwind","FR",9,28,4,13,0.028
"onwind","FR",3,29,4,14,0.067
"onwind","FR",26,1,3,15,18.217
"onwind","FR",30,2,3,16,14.824
"onwind","FR",24,3,3,17,10.692
"onwind","FR",2,4,3,18,7.012
"onwind","FR",16,5,3,19,5.076
"onwind","FR",21,6,3,20,4.612
"onwind","FR",25,7,3,21,0.724
"onwind","FR",17,8,3,22,0.026
"onwind","FR",8,9,3,23,5.614
"onwind","FR",10,10,3,24,4.981
"onwind","FR",29,11,3,25,1.398
"onwind","FR",12,12,3,26,0.459
"onwind","FR",5,13,3,27,5.965
"onwind","FR",27,14,3,28,0.112
"onwind","FR",18,15,3,29,0.026
"onwind","FR",13,16,3,30,0.431
"onwind","FR",22,17,3,31,0.032
"onwind","FR",14,18,3,32,0.096
"onwind","FR",28,19,3,33,0.068
"onwind","FR",23,20,3,34,0.053
"onwind","FR",19,21,3,35,0.05
"onwind","FR",11,22,3,36,1.916
"onwind","FR",4,23,3,37,0.414
"onwind","FR",6,24,3,38,1.919
"onwind","FR",15,25,3,39,0.029
"onwind","FR",20,26,3,40,0.202
"onwind","FR",1,27,3,41,0.006
"onwind","FR",9,28,3,42,0.17
"onwind","FR",3,29,3,43,1.589
"onwind","FR",7,30,3,44,0.206
"onwind","FR",26,1,2,45,17.372
"onwind","FR",30,2,2,46,18.797
"onwind","FR",24,3,2,47,24.779
"onwind","FR",2,4,2,48,6.05
"onwind","FR",16,5,2,49,20.089
"onwind","FR",21,6,2,50,30.424
"onwind","FR",25,7,2,51,32.612
"onwind","FR",17,8,2,52,20.383
"onwind","FR",8,9,2,53,8.105
"onwind","FR",10,10,2,54,9.065
"onwind","FR",29,11,2,55,18.485
"onwind","FR",12,12,2,56,20.831
